1 00 00 01 a0a0a0a0 || 00000000 00000000
1 00 00 01 a0a0a0a0 || 00000000 00000000
1 00 01 00 b0b0b0b0 || 00000000 a0a0a0a0
1 00 01 00 b0b0b0b0 || 00000000 a0a0a0a0
0 01 00 01 c0c0c0c0 || a0a0a0a0 00000000
0 01 00 01 c0c0c0c0 || a0a0a0a0 00000000
0 01 00 01 c0c0c0c0 || a0a0a0a0 00000000
0 01 00 01 c0c0c0c0 || a0a0a0a0 00000000
1 00 00 00 00000000 || 00000000 00000000
1 00 00 00 00000000 || 00000000 00000000
1 01 01 02 00000002 || a0a0a0a0 a0a0a0a0
1 01 01 02 00000002 || a0a0a0a0 a0a0a0a0
1 02 02 03 00000003 || 00000002 00000002
1 02 02 03 00000003 || 00000002 00000002
1 03 03 04 00000004 || 00000003 00000003
1 03 03 04 00000004 || 00000003 00000003
1 04 04 05 00000005 || 00000004 00000004
1 04 04 05 00000005 || 00000004 00000004
1 05 05 06 00000006 || 00000005 00000005
1 05 05 06 00000006 || 00000005 00000005
1 06 06 07 00000007 || 00000006 00000006
1 06 06 07 00000007 || 00000006 00000006
1 07 07 08 00000008 || 00000007 00000007
1 07 07 08 00000008 || 00000007 00000007
1 08 08 09 00000009 || 00000008 00000008
1 08 08 09 00000009 || 00000008 00000008
1 09 09 0a 0000000a || 00000009 00000009
1 09 09 0a 0000000a || 00000009 00000009
1 0a 0a 0b 0000000b || 0000000a 0000000a
1 0a 0a 0b 0000000b || 0000000a 0000000a
1 0b 0b 0c 0000000c || 0000000b 0000000b
1 0b 0b 0c 0000000c || 0000000b 0000000b
1 0c 0c 0d 0000000d || 0000000c 0000000c
1 0c 0c 0d 0000000d || 0000000c 0000000c
1 0d 0d 0e 0000000e || 0000000d 0000000d
1 0d 0d 0e 0000000e || 0000000d 0000000d
1 0e 0e 0f 0000000f || 0000000e 0000000e
1 0e 0e 0f 0000000f || 0000000e 0000000e
1 0f 0f 10 00000010 || 0000000f 0000000f
1 0f 0f 10 00000010 || 0000000f 0000000f
1 10 10 11 00000011 || 00000010 00000010
1 10 10 11 00000011 || 00000010 00000010
1 11 11 12 00000012 || 00000011 00000011
1 11 11 12 00000012 || 00000011 00000011
1 12 12 13 00000013 || 00000012 00000012
1 12 12 13 00000013 || 00000012 00000012
1 13 13 14 00000014 || 00000013 00000013
1 13 13 14 00000014 || 00000013 00000013
1 14 14 15 00000015 || 00000014 00000014
1 14 14 15 00000015 || 00000014 00000014
1 15 15 16 00000016 || 00000015 00000015
1 15 15 16 00000016 || 00000015 00000015
1 16 16 17 00000017 || 00000016 00000016
1 16 16 17 00000017 || 00000016 00000016
1 17 17 18 00000018 || 00000017 00000017
1 17 17 18 00000018 || 00000017 00000017
1 18 18 19 00000019 || 00000018 00000018
1 18 18 19 00000019 || 00000018 00000018
1 19 19 1a 0000001a || 00000019 00000019
1 19 19 1a 0000001a || 00000019 00000019
1 1a 1a 1b 0000001b || 0000001a 0000001a
1 1a 1a 1b 0000001b || 0000001a 0000001a
1 1b 1b 1c 0000001c || 0000001b 0000001b
1 1b 1b 1c 0000001c || 0000001b 0000001b
1 1c 1c 1d 0000001d || 0000001c 0000001c
1 1c 1c 1d 0000001d || 0000001c 0000001c
1 1d 1d 1e 0000001e || 0000001d 0000001d
1 1d 1d 1e 0000001e || 0000001d 0000001d
1 1e 1e 1f 0000001f || 0000001e 0000001e
1 1e 1e 1f 0000001f || 0000001e 0000001e
1 1f 1f 00 00000020 || 0000001f 0000001f
